Čas: 00:00:31.1486086, Stav 1: 0, Stav 2: 5, Set 1: 0, Set 2: 0
Čas: 00:00:03.5465057, Stav 1: 0, Stav 2: 1, Set 1: 0, Set 2: 0
Čas: 00:00:04.5451471, Stav 1: 0, Stav 2: 2, Set 1: 0, Set 2: 0
Čas: 00:00:05.5440365, Stav 1: 1, Stav 2: 2, Set 1: 0, Set 2: 0
Čas: 00:00:06.5439740, Stav 1: 2, Stav 2: 2, Set 1: 0, Set 2: 0
Čas: 00:00:06.5439740, Stav 1: 3, Stav 2: 2, Set 1: 0, Set 2: 0
Čas: 00:00:06.5439740, Stav 1: 4, Stav 2: 2, Set 1: 0, Set 2: 0
Čas: 00:00:04.8120960, Stav 1: 0, Stav 2: 1, Set 1: 0, Set 2: 0
Čas: 00:00:04.8120960, Stav 1: 0, Stav 2: 2, Set 1: 0, Set 2: 0
Čas: 00:00:04.8120960, Stav 1: 0, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:04.8120960, Stav 1: 0, Stav 2: 4, Set 1: 0, Set 2: 0
Čas: 00:00:21.1581696, Stav 1: 0, Stav 2: 1, Set 1: 0, Set 2: 0
Čas: 00:00:21.1581696, Stav 1: 0, Stav 2: 2, Set 1: 0, Set 2: 0
Čas: 00:00:22.1568315, Stav 1: 0, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:23.1552830, Stav 1: 1, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:23.1552830, Stav 1: 2, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:24.1579387, Stav 1: 3, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:24.1579387, Stav 1: 4, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:24.1579387, Stav 1: 5, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:24.1579387, Stav 1: 6, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:24.1579387, Stav 1: 7, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:25.1568610, Stav 1: 8, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:25.1568610, Stav 1: 9, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:25.1568610, Stav 1: 10, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:25.1568610, Stav 1: 11, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:25.1568610, Stav 1: 12, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:25.1568610, Stav 1: 13, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:25.1568610, Stav 1: 14, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:25.1568610, Stav 1: 15, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:25.1568610, Stav 1: 16, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:25.1568610, Stav 1: 17, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:25.1568610, Stav 1: 18, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:25.1568610, Stav 1: 19, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:25.1568610, Stav 1: 20, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:26.1817154, Stav 1: 21, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:26.1817154, Stav 1: 22, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:26.1817154, Stav 1: 23, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:26.1817154, Stav 1: 24, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:26.1817154, Stav 1: 25, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:26.1817154, Stav 1: 26, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:26.1817154, Stav 1: 27, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:26.1817154, Stav 1: 28, Stav 2: 3, Set 1: 0, Set 2: 0
Čas: 00:00:00, Stav 1: 1, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:00, Stav 1: 2, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:00.9876399, Stav 1: 3, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:00.9876399, Stav 1: 4, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:00.9876399, Stav 1: 5, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:00.9876399, Stav 1: 6, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:00.9876399, Stav 1: 7, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:00.9876399, Stav 1: 8, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:00.9876399, Stav 1: 9, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:00.9876399, Stav 1: 10, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:00.9876399, Stav 1: 11, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:00.9876399, Stav 1: 12, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:00.9876399, Stav 1: 13, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:00.9876399, Stav 1: 14, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:00.9876399, Stav 1: 15, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:00.9876399, Stav 1: 16, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:00.9876399, Stav 1: 17, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:00.9876399, Stav 1: 18, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:00.9876399, Stav 1: 19, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:00.9876399, Stav 1: 20, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:01.9945149, Stav 1: 21, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:01.9945149, Stav 1: 22, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:01.9945149, Stav 1: 23, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:01.9945149, Stav 1: 24, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:01.9945149, Stav 1: 25, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:01.9945149, Stav 1: 26, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:01.9945149, Stav 1: 27, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:01.9945149, Stav 1: 28, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:01.9945149, Stav 1: 29, Stav 2: 0, Set 1: 0, Set 2: 0
Čas: 00:00:02.9875544, Stav 1: 30, Stav 2: 0, Set 1: 1, Set 2: 0
Čas: 00:00:13.0064297, Stav 1: 30, Stav 2: 0, Set 1: 1, Set 2: 1
Čas: 00:00:13.0064297, Stav 1: 30, Stav 2: 0, Set 1: 1, Set 2: 2
Čas: 00:00:14.0034721, Stav 1: 30, Stav 2: 0, Set 1: 1, Set 2: 3
Čas: 00:00:15.0033664, Stav 1: 30, Stav 2: 0, Set 1: 1, Set 2: 2
Čas: 00:00:15.0033664, Stav 1: 30, Stav 2: 0, Set 1: 1, Set 2: 1
Čas: 00:00:16.0024397, Stav 1: 30, Stav 2: 0, Set 1: 1, Set 2: 0
Čas: 00:00:16.0024397, Stav 1: 30, Stav 2: 0, Set 1: 1, Set 2: 1
Čas: 00:00:16.0024397, Stav 1: 30, Stav 2: 0, Set 1: 1, Set 2: 2
Čas: 00:00:16.0024397, Stav 1: 30, Stav 2: 0, Set 1: 1, Set 2: 3
Čas: 00:03:18.0057421, Stav 1: 30, Stav 2: 0, Set 1: 0, Set 2: 3
Čas: 00:03:19.0106280, Stav 1: 30, Stav 2: 0, Set 1: 1, Set 2: 3
Čas: 00:03:20.0063852, Stav 1: 30, Stav 2: 0, Set 1: 2, Set 2: 3
Čas: 00:03:20.0063852, Stav 1: 30, Stav 2: 0, Set 1: 3, Set 2: 3
Čas: 00:03:21.0043081, Stav 1: 30, Stav 2: 0, Set 1: 3, Set 2: 2
Čas: 00:03:21.0043081, Stav 1: 30, Stav 2: 0, Set 1: 3, Set 2: 1
Čas: 00:03:22.0075113, Stav 1: 30, Stav 2: 0, Set 1: 3, Set 2: 0
Čas: 00:03:25.0029097, Stav 1: 30, Stav 2: 0, Set 1: 3, Set 2: 1
Čas: 00:03:25.0029097, Stav 1: 30, Stav 2: 0, Set 1: 3, Set 2: 2
Čas: 00:03:28.0336255, Stav 1: 30, Stav 2: 1, Set 1: 3, Set 2: 2
Čas: 00:03:28.0336255, Stav 1: 30, Stav 2: 2, Set 1: 3, Set 2: 2
Čas: 00:03:29.0410880, Stav 1: 30, Stav 2: 3, Set 1: 3, Set 2: 2
Čas: 00:03:29.0410880, Stav 1: 30, Stav 2: 4, Set 1: 3, Set 2: 2
Čas: 00:03:30.0336832, Stav 1: 30, Stav 2: 5, Set 1: 3, Set 2: 2
Čas: 00:03:30.0336832, Stav 1: 30, Stav 2: 6, Set 1: 3, Set 2: 2
Čas: 00:03:31.0400882, Stav 1: 30, Stav 2: 7, Set 1: 3, Set 2: 2
